species,Lon,Lat,Temp,Sal,Status
Acartia tonsa,8.16,53.509998,11.337409,32.266701,PNIS
Acartia tonsa,13.12,54.799999,9.042767,8.815317,PNIS
Acartia tonsa,-61.352,45.575,7.832018,30.596766,PNIS
Acartia tonsa,139.57166,-37.26313,15.540654,35.452595,PNIS
Acartia tonsa,-63.725,10.485,26.499409,35.223579,PNIS
Acartia tonsa,-63.682369,10.485092,26.499409,35.223579,PNIS
Acartia tonsa,-63.696805,10.470833,26.499409,35.223579,PNIS
Acartia tonsa,-63.68333,10.485,26.499409,35.223579,PNIS
Acartia tonsa,-63.767777,10.506666,26.490474,35.242947,PNIS
Acartia tonsa,-63.748333,10.494166,26.499409,35.223579,PNIS
Acartia tonsa,-63.759722,10.492694,26.486114,35.276028,PNIS
Acartia tonsa,-63.710611,10.491666,26.499409,35.223579,PNIS
Acartia tonsa,-63.721555,10.481666,26.499409,35.223579,PNIS
Acartia tonsa,-63.673611,10.48555,26.499409,35.223579,PNIS
Acartia tonsa,-63.711388,10.481666,26.499409,35.223579,PNIS
Acartia tonsa,-63.7475,10.491888,26.499409,35.223579,PNIS
Acartia tonsa,-63.767222,10.504388,26.490474,35.242947,PNIS
Acartia tonsa,-63.690277,10.47075,26.499409,35.223579,PNIS
Acartia tonsa,-63.762222,10.492222,26.486114,35.276028,PNIS
Acartia tonsa,-63.698333,10.480833,26.499409,35.223579,PNIS
Acartia tonsa,-63.723236,10.484937,26.499409,35.223579,PNIS
Acartia tonsa,-63.717222,10.485,26.499409,35.223579,PNIS
Acartia tonsa,112.74175,-24.48266,22.867693,35.401611,PNIS
Acartia tonsa,113.14726,-27.87056,15.429511,35.580154,PNIS
Acartia tonsa,112.5759,-24.8325,22.059254,35.548958,PNIS
Acartia tonsa,113.28981,-28.17996,12.44955,35.322132,PNIS
Acartia tonsa,114.0407,-21.58611,18.919455,35.517494,PNIS
Acartia tonsa,114.50064,-30.45537,6.335973,34.486542,PNIS
Acartia tonsa,114.2586,-21.32095,15.113583,35.544785,PNIS
