Part,X,Y
"7",67.11133,32.67624
"7",67.11136,32.67636
"7",67.11137,32.67638
"7",67.11136,32.67648
"7",67.11135,32.67657
"7",67.11133,32.67664
"7",67.11129,32.67674
"7",67.11128,32.67679
"7",67.11126,32.67693
"7",67.11126,32.67708
"7",67.11129,32.67718
"7",67.11135,32.67730
"7",67.11137,32.67739
"7",67.11137,32.67739
"7",67.11137,32.67739
"7",67.11138,32.67753
"7",67.11132,32.67764
"7",67.11127,32.67771
"7",67.11123,32.67783
"7",67.11122,32.67787
"7",67.11122,32.67787
"7",67.11124,32.67806
"7",67.11123,32.67812
"7",67.11122,32.67824
"7",67.11122,32.67847
"7",67.11122,32.67857
"7",67.11122,32.67870
"7",67.11122,32.67876
"7",67.11123,32.67892
"7",67.11122,32.67906
"7",67.11121,32.67913
"7",67.11121,32.67922
"7",67.11122,32.67936
"7",67.11123,32.67948
"7",67.11123,32.67948
"7",67.11123,32.67948
"7",67.11120,32.67963
"7",67.11119,32.67984
"7",67.11118,32.67996
"7",67.11115,32.68009
"7",67.11114,32.68024
"7",67.11110,32.68050
"7",67.11108,32.68082
"7",67.11110,32.68103
"7",67.11113,32.68118
"7",67.11114,32.68124
"7",67.11115,32.68128
"7",67.11115,32.68139
"7",67.11110,32.68158
"7",67.11101,32.68168
"7",67.11094,32.68166
"7",67.11089,32.68164
"7",67.11084,32.68171
"7",67.11081,32.68174
"7",67.11071,32.68202
"7",67.11065,32.68219
"7",67.11062,32.68226
"7",67.11057,32.68240
"7",67.11048,32.68252
"7",67.11046,32.68259
"7",67.11042,32.68273
"7",67.11034,32.68276
"7",67.11033,32.68277
"7",67.11022,32.68285
"7",67.11017,32.68286
"7",67.11013,32.68286
"7",67.11007,32.68298
"7",67.11002,32.68313
"7",67.10997,32.68324
"7",67.10990,32.68335
"7",67.10981,32.68346
"7",67.10977,32.68354
"7",67.10972,32.68364
"7",67.10966,32.68374
"7",67.10964,32.68372
"7",67.10962,32.68371
"7",67.10959,32.68363
"7",67.10956,32.68358
"7",67.10960,32.68345
"7",67.10960,32.68345
"7",67.10969,32.68335
"7",67.10976,32.68324
"7",67.10974,32.68304
"7",67.10972,32.68298
"7",67.10971,32.68293
"7",67.10966,32.68293
"7",67.10964,32.68293
"7",67.10952,32.68313
"7",67.10948,32.68343
"7",67.10945,32.68345
"7",67.10935,32.68353
"7",67.10927,32.68368
"7",67.10921,32.68391
"7",67.10919,32.68394
"7",67.10914,32.68408
"7",67.10910,32.68409
"7",67.10905,32.68411
"7",67.10897,32.68403
"7",67.10892,32.68398
"7",67.10886,32.68398
"7",67.10880,32.68406
"7",67.10878,32.68427
"7",67.10878,32.68429
"7",67.10877,32.68434
"7",67.10876,32.68444
"7",67.10868,32.68458
"7",67.10863,32.68465
"7",67.10848,32.68483
"7",67.10835,32.68505
"7",67.10831,32.68525
"7",67.10828,32.68536
"7",67.10826,32.68557
"7",67.10819,32.68567
"7",67.10817,32.68567
"7",67.10802,32.68569
"7",67.10791,32.68579
"7",67.10781,32.68600
"7",67.10779,32.68600
"7",67.10778,32.68600
"7",67.10776,32.68598
"7",67.10774,32.68594
"7",67.10761,32.68590
"7",67.10757,32.68589
"7",67.10756,32.68589
"7",67.10754,32.68598
"7",67.10752,32.68605
"7",67.10753,32.68632
"7",67.10753,32.68633
"7",67.10754,32.68648
"7",67.10754,32.68648
"7",67.10752,32.68654
"7",67.10751,32.68661
"7",67.10747,32.68666
"7",67.10747,32.68666
"7",67.10742,32.68683
"7",67.10740,32.68691
"7",67.10740,32.68692
"7",67.10743,32.68706
"7",67.10741,32.68711
"7",67.10741,32.68711
"7",67.10737,32.68714
"7",67.10734,32.68715
"7",67.10732,32.68698
"7",67.10727,32.68681
"7",67.10722,32.68672
"7",67.10720,32.68668
"7",67.10716,32.68648
"7",67.10715,32.68620
"7",67.10716,32.68574
"7",67.10716,32.68574
"7",67.10716,32.68574
"7",67.10714,32.68543
"7",67.10714,32.68543
"7",67.10717,32.68526
"7",67.10720,32.68511
"7",67.10724,32.68478
"7",67.10726,32.68448
"7",67.10733,32.68419
"7",67.10740,32.68400
"7",67.10743,32.68390
"7",67.10747,32.68377
"7",67.10749,32.68368
"7",67.10750,32.68356
"7",67.10755,32.68335
"7",67.10757,32.68324
"7",67.10760,32.68309
"7",67.10762,32.68301
"7",67.10762,32.68277
"7",67.10762,32.68276
"7",67.10761,32.68272
"7",67.10759,32.68269
"7",67.10756,32.68271
"7",67.10750,32.68288
"7",67.10744,32.68334
"7",67.10742,32.68349
"7",67.10738,32.68373
"7",67.10725,32.68401
"7",67.10714,32.68423
"7",67.10706,32.68448
"7",67.10706,32.68448
"7",67.10689,32.68470
"7",67.10672,32.68494
"7",67.10666,32.68505
"7",67.10665,32.68506
