"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Gorgonocephalus.sp.",0,0,4,0,4,0,0,0,4,2,0,4,4,4,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,4,2,0
"Granotoma.albrechti",2,0,0,0,4,0,4,4,0,0,0,0,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,4,4,0,0,0,6,0,6,0,0
"Halichondria.sp.",2,0,2,0,2,0,4,4,4,4,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,4,2,6,0,0,0,2,0,0,4,0,0,6
"Haliclona.sp.",0,0,4,0,2,0,0,0,4,4,0,6,0,0,0,4,2,0,0,6,0,0,0,0,0,0,6,6,0,0,0,2,0,0,4,0,0,6
"Halirages.nilssoni",0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,4,2,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0
"Haliclystus.",0,0,0,0,3,0,2,2,0,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,3,0
"Halocynthia.aurantium",4,0,0,0,4,0,0,0,4,4,0,6,0,0,0,0,2,4,6,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,4,2,0
"Harmothoe.extenuata",0,4,2,0,0,0,6,0,0,0,0,0,0,6,0,2,4,0,6,0,0,2,0,0,4,2,0,0,6,0,0,0,0,0,6,4,2,0
"Harmothoe.imbricata",0,4,2,0,0,0,6,0,0,0,2,0,0,6,0,2,4,0,2,0,4,4,0,0,0,2,0,0,4,4,4,0,2,0,4,4,2,0
"Harmothoe.sp.",0,4,2,0,0,0,6,0,0,0,2,0,0,4,0,2,4,0,4,0,2,4,0,0,2,2,0,0,4,2,2,0,2,0,4,4,2,0
"Henricia.sanguinolenta",0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,2,1,0
"Henricia.sp.",0,0,3,0,0,0,2,2,1,0,0,0,0,3,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,3,0,0
"Henricia.tumida",0,0,3,0,0,0,1,2,0,0,0,0,0,3,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,3,0,0
"Heteropora.sp.",0,0,0,0,6,0,2,2,4,4,0,6,0,0,0,0,4,2,0,6,0,0,0,0,0,0,6,6,0,0,0,2,0,0,4,0,0,6
"Hexactinellida",0,0,0,0,3,0,2,2,0,0,0,3,0,0,0,1,1,1,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,2,1,0
"Hiatella.arctica",0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,2,4,0,6,0,0,0,0,0,0,4,4,6,0,0,0,0,6,0,0,4,2,0
"Hippomedon.rylovi",0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0
"Hippomedon.sp.",0,0,0,6,0,0,6,0,0,0,0,0,4,2,0,2,4,0,0,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,6,4,2,0
"Holothuroidea",2,2,0,0,0,0,2,2,0,0,2,2,0,0,0,1,1,2,1,2,0,2,0,0,1,0,0,0,1,2,0,0,2,0,1,2,2,0
"Hormathia.nodosa",1,0,0,0,2,0,0,0,3,0,0,NA,NA,NA,NA,0,1,2,0,1,2,0,0,0,0,0,3,2,0,1,0,0,0,0,3,2,2,0
"Hyas.coarctatus",0,0,4,0,4,0,0,2,4,0,0,0,4,4,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,4,2,0
"Hydrozoa",0,0,0,0,6,2,2,4,2,0,0,2,0,4,0,2,4,0,0,4,2,0,0,0,0,2,4,6,0,0,0,4,2,0,4,2,2,4
"Ischyrocerus.latipes",0,0,0,6,0,0,4,2,0,0,0,6,0,0,0,0,6,0,0,0,6,2,0,4,0,0,0,0,0,0,6,0,0,0,6,4,4,0
