Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj27182;Siskinary;m;Exp_1;1;15.08.2020;0;12,96;3,342373005;20,89744269;0;1;0
Spinus spinus;Rybachy;xj27182;Siskinary;m;Exp_1;1;01.09.2020;11;14,08;2,06501114;14,02678952;1;2;13,33333333
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;15.08.2020;0;13,09;3,492928353;22,05781807;0;1;0
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;01.09.2020;11;13,03;2,278673808;14,32385126;1;2;0,633333333
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;14.09.2020;24;13,33;3,447995396;22,17328571;0;3;2,5
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;24.09.2020;34;13,25;3,470342302;22,18305821;0;4;2,666666667
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;05.10.2020;45;13,19;4,000932313;25,45887602;0;5;0,135
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;07.10.2020;47;13,43;3,877678015;25,1235487;0;6;0,218333333
Spinus spinus;Rybachy;xj27186;Siskinary;m;Exp_1;1;16.08.2020;0;12,05;3,439799827;19,99647496;0;1;0
Spinus spinus;Rybachy;xj27186;Siskinary;m;Exp_1;1;31.08.2020;10;13,24;2,870367022;18,33405978;0;2;3,336666667
Spinus spinus;Rybachy;xj27186;Siskinary;m;Exp_1;1;13.09.2020;23;10,91;3,578188426;18,83307273;0;3;84,16666667
Spinus spinus;Rybachy;xj27225;Siskinary;f;Exp_2;1;07.09.2020;13;11,66;4,582449207;25,7768258;0;2;12,5
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;25.08.2020;0;12,3;3,463359747;20,55114118;0;1;0
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;13.09.2020;14;12,14;4,257665915;24,93581079;0;2;0
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;21.09.2020;22;13,07;3,837090396;24,1941765;0;3;0
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;02.10.2020;33;13,38;3,608776061;23,29427901;0;4;0
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;14.10.2020;45;12,63;4,575645984;27,87975756;0;5;0
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;21.08.2020;0;13,43;3,393077379;21,98381208;0;1;0
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;04.09.2020;10;13,89;2,769218588;18,55635662;0;2;0,9
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;17.09.2020;23;13,76;4,133326552;27,43793217;0;3;38
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;28.09.2020;34;15,34;3,458160571;25,59197135;0;4;5,35
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;12.10.2020;48;13,16;4,155479204;26,38215265;0;5;0,6
Spinus spinus;Rybachy;xj27247;Sparta;f;Exp_1;1;18.08.2020;0;11,78;3,180716786;18,37285952;0;1;0
Spinus spinus;Rybachy;xj27247;Sparta;f;Exp_1;1;03.09.2020;13;11,69;0,67818381;19,63052411;0;2;20,83333333
Spinus spinus;Rybachy;xj27247;Sparta;f;Exp_1;1;11.09.2020;21;9,67;3,380801633;15,77173204;0;3;67,5
Spinus spinus;Rybachy;xj27249;Sparta;m;Exp_1;1;20.08.2020;0;12,69;3,254872979;19,93967269;0;1;0
Spinus spinus;Rybachy;xj27249;Sparta;m;Exp_1;1;02.09.2020;12;12,79;3,077960054;18,9918272;0;2;45
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;24.08.2020;0;13,27;3,397146747;21,74795656;0;1;0
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;07.09.2020;13;13,22;3,397484517;21,66816669;0;2;1,591666667
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;19.09.2020;25;13,42;4,118419052;26,66344596;0;3;39,08333333
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;29.09.2020;35;13,58;3,819256359;25,02141158;0;4;55,75
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;13.10.2020;49;13,4;4,00236938;25,87350064;0;5;28,85428571
Spinus spinus;Rybachy;xj27259;Sparta;m;Exp_1;1;19.08.2020;0;13,22;4,018208214;25,62696163;0;1;0
Spinus spinus;Rybachy;xj27259;Sparta;m;Exp_1;1;03.09.2020;13;12,59;0,743293561;21,51517324;0;2;38,33333333
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;20.08.2020;0;13,39;3,242051151;20,94274795;0;1;0
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;02.09.2020;12;13,37;3,049822192;19,67157595;0;2;3
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;15.09.2020;25;13,37;3,522292484;22,71904385;0;3;3,343333333
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;26.09.2020;36;13,24;3,933168391;25,12255188;0;4;0,04
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;06.10.2020;46;13,32;3,901357396;25,06993386;0;5;0,029666667
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;10.10.2020;50;13,28;3,968331355;25,42372779;0;6;0,346666667
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;28.08.2020;0;12,8;3,816369978;23,56642289;0;1;0
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;23.09.2020;24;11,87;4,015371175;22,99374138;0;3;0
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;04.10.2020;35;12,06;3,684524301;21,43689888;0;4;0
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;16.10.2020;47;11,82;3,884774005;22,1521795;0;5;0
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;20.08.2020;0;12,92;3,965444388;24,71653594;0;1;0
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;02.09.2020;12;13,26;3,007229256;19,23726326;0;2;15
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;11.09.2020;21;11,69;4,018572157;22,66311009;0;3;90
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;25.09.2020;35;13,3;4,085939685;26,21662723;0;4;19,41666667
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;06.10.2020;46;13,13;3,768946602;23,87360131;0;5;0,373333333
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;09.10.2020;49;13,16;4,07972301;25,90119453;0;6;0,06
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;19.08.2020;0;12,67;3,592246737;21,95715159;0;1;0
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;30.08.2020;9;12,44;3,10205061;18,6166908;0;2;25,2
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;15.09.2020;25;12,91;3,211842362;20,00385466;0;3;0,093333333
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;25.09.2020;35;12,54;4,294308923;25,97909669;0;4;0,218333333
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;05.10.2020;45;13;3,809670771;23,89263368;0;5;0,105
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;09.10.2020;49;13,05;4,137147764;26,04622397;0;6;0,120666667
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;18.08.2020;0;12,5;3,344012118;20,16559692;0;1;0
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;02.09.2020;12;13;2,64138955;16,56567108;0;2;20
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;16.09.2020;26;13,11;3,316400318;20,97504331;0;3;2,333333333
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;26.09.2020;36;12,77;3,539640518;21,80636522;0;4;0,06
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;06.10.2020;46;12,99;3,644313511;22,8380021;0;5;0,056666667
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;10.10.2020;50;13,48;3,226393051;20,98168643;0;6;0,04
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;20.08.2020;0;11,99;3,541174858;20,4832932;0;1;0
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;04.09.2020;10;12,52;2,704607033;16,33584968;0;2;0,95
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;17.09.2020;23;12,35;3,837482442;22,86370381;0;3;38,33333333
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;28.09.2020;34;12,43;3,519314036;21,1038833;0;4;4,566666667
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;11.10.2020;47;13,14;3,584436323;22,72215202;0;5;11,3332
Spinus spinus;Rybachy;xj27277;Sparta;m;Exp_1;1;19.08.2020;0;12,75;3,19640204;19,66096411;0;1;0
Spinus spinus;Rybachy;xj27277;Sparta;m;Exp_1;1;30.08.2020;9;13,08;3,687534156;23,26896263;0;2;21,85
