"Year","Season","Bank","Sample","L","Status","Number_of_crushed"
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",9,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",9,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",3,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",2,"alive",NA
1996,"August","vor4","5",3,"alive",NA
1996,"August","vor4","4",25,"alive",NA
1996,"August","vor4","4",32,"alive",NA
1996,"August","vor4","4",26,"alive",NA
1996,"August","vor4","4",23,"alive",NA
1996,"August","vor4","4",26,"alive",NA
1996,"August","vor4","4",25,"alive",NA
1996,"August","vor4","4",23,"alive",NA
1996,"August","vor4","4",24,"alive",NA
1996,"August","vor4","4",27,"alive",NA
1996,"August","vor4","4",26,"alive",NA
1996,"August","vor4","4",26,"alive",NA
1996,"August","vor4","4",27,"alive",NA
1996,"August","vor4","4",28,"alive",NA
1996,"August","vor4","4",27,"alive",NA
1996,"August","vor4","4",29,"alive",NA
1996,"August","vor4","4",27,"alive",NA
1996,"August","vor4","4",26,"alive",NA
1996,"August","vor4","4",27,"alive",NA
1996,"August","vor4","4",20,"alive",NA
1996,"August","vor4","4",21,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",20,"alive",NA
1996,"August","vor4","4",18,"alive",NA
1996,"August","vor4","4",20,"alive",NA
1996,"August","vor4","4",17,"alive",NA
1996,"August","vor4","4",20,"alive",NA
1996,"August","vor4","4",21,"alive",NA
1996,"August","vor4","4",21,"alive",NA
1996,"August","vor4","4",16,"alive",NA
1996,"August","vor4","4",22,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",18,"alive",NA
1996,"August","vor4","4",16,"alive",NA
1996,"August","vor4","4",14,"alive",NA
1996,"August","vor4","4",14,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",17,"alive",NA
1996,"August","vor4","4",17,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",10,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",1,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",1,"alive",NA
1996,"August","vor4","4",5,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",10,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",2,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",16,"alive",NA
1996,"August","vor4","4",15,"alive",NA
1996,"August","vor4","4",13,"alive",NA
1996,"August","vor4","4",12,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",4,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",7,"alive",NA
1996,"August","vor4","4",7,"alive",NA
1996,"August","vor4","4",6,"alive",NA
1996,"August","vor4","4",3,"alive",NA
1996,"August","vor4","4",10,"alive",NA
