species,lon,lat,Status
Acanthocyclops robustus,10.11345,60.08202,PNIS
Acanthocyclops robustus,10.277995,60.052032,PNIS
Acanthocyclops robustus,13.431373,65.90622,PNIS
Acanthocyclops robustus,13.41603,66.067413,PNIS
Acanthocyclops robustus,13.363656,66.052355,PNIS
Acanthocyclops robustus,11.613465,64.665985,PNIS
Acanthocyclops robustus,11.851399,64.173662,PNIS
Acanthocyclops robustus,11.450505,64.698774,PNIS
Acanthocyclops robustus,11.574523,64.697856,PNIS
Acanthocyclops robustus,11.794372,64.72227,PNIS
Acanthocyclops robustus,13.99309,65.80578,PNIS
Acanthocyclops robustus,11.560273,64.718532,PNIS
Acanthocyclops robustus,11.817096,62.070967,PNIS
Acanthocyclops robustus,10.282699,59.996865,PNIS
Acanthocyclops robustus,8.50429,61.45524,PNIS
Acanthocyclops robustus,11.585461,64.101337,PNIS
Acanthocyclops robustus,10.52459,63.25569,PNIS
Acanthocyclops robustus,10.52785,63.26076,PNIS
Acanthocyclops robustus,5.211051,59.642749,PNIS
Acanthocyclops robustus,11.07671,63.27511,PNIS
Acanthocyclops robustus,10.96715,63.21944,PNIS
Acanthocyclops robustus,10.66762,63.27701,PNIS
Acanthocyclops robustus,10.98086,63.26194,PNIS
Acanthocyclops robustus,12.215786,64.213354,PNIS
Acanthocyclops robustus,10.87428,63.23199,PNIS
Acanthocyclops robustus,10.77221,63.26036,PNIS
Acanthocyclops robustus,17.932425,69.440285,PNIS
Acanthocyclops robustus,5.1575,60.559139,PNIS
Acanthocyclops robustus,-0.18,40.58,PNIS
Acanthocyclops robustus,-0.17,40.57,PNIS
Acanthocyclops robustus,6.083492,58.674759,PNIS
Acanthocyclops robustus,7.671065,58.116815,PNIS
Acanthocyclops robustus,10.335274,63.802974,PNIS
Acanthocyclops robustus,13.38729,66.048449,PNIS
Acanthocyclops robustus,6.765804,58.201533,PNIS
Acanthocyclops robustus,-80.209999,43.619999,PNIS
Acanthocyclops robustus,-0.19,38.92,PNIS
Acanthocyclops robustus,-0.4,38.78,PNIS
Acanthocyclops robustus,-0.56,39.54,PNIS
Acanthocyclops robustus,-0.96,39.62,PNIS
Acanthocyclops robustus,-79.66,43.75,PNIS
Acanthocyclops robustus,11.042419,60.54217,PNIS
Acanthocyclops robustus,10.078674,60.14758,PNIS
Acanthocyclops robustus,-79.669998,43.759998,PNIS
Acanthocyclops robustus,10.13521,61.886724,PNIS
Acanthocyclops robustus,7.962739,59.326276,PNIS
Acanthocyclops robustus,-4.484759,53.425906,PNIS
Acanthocyclops robustus,-52.176,-32.206,Native
Acanthocyclops robustus,-52.1,-32.148,Native
Acanthocyclops robustus,-52.106,-32.025,Native
Acanthocyclops robustus,-4.453818,52.887071,PNIS
Acanthocyclops robustus,9.8853,59.880491,PNIS
Acanthocyclops robustus,17.288855,68.403069,PNIS
Acanthocyclops robustus,9.603346,59.225196,PNIS
Acanthocyclops robustus,7.971777,63.157512,PNIS
Acanthocyclops robustus,19.41985,69.017458,PNIS
Acanthocyclops robustus,5.222793,61.920058,PNIS
Acanthocyclops robustus,5.189483,60.362124,PNIS
Acanthocyclops robustus,6.959375,62.616201,PNIS
Acanthocyclops robustus,7.971942,58.278575,PNIS
