"","species","Lat","Lon"
"548","Daphnia galeata",52.950098,-2.81259
"549","Daphnia galeata",53.308421,-4.290286
"550","Daphnia galeata",52.902147,-3.562511
"551","Daphnia galeata",62.553404,10.120067
"552","Daphnia galeata",62.598397,10.10618
"553","Daphnia galeata",53.014873,5.894678
"554","Daphnia galeata",53.236687,5.9481
"555","Daphnia galeata",53.021617,5.914355
"556","Daphnia galeata",51.826635,5.224739
"557","Daphnia galeata",51.519526,-3.738136
"558","Daphnia galeata",51.930267,-3.259446
"559","Daphnia galeata",52.109719,-3.293703
"560","Daphnia galeata",51.524373,-3.744808
"561","Daphnia galeata",69.641015,23.779671
"562","Daphnia galeata",69.574898,23.760778
"563","Daphnia galeata",69.650012,23.778269
"564","Daphnia galeata",69.593626,23.768347
"565","Daphnia galeata",59.70552,10.739876
"566","Daphnia galeata",51.810177,5.230975
"567","Daphnia galeata",51.849066,5.687961
"568","Daphnia galeata",19.46,-99.773333
"569","Daphnia galeata",19.085556,-99.769167
"570","Daphnia galeata",53.158556,6.061457
"571","Daphnia galeata",50.88,-119.296667
"572","Daphnia galeata",56.966583,14.7682
"573","Daphnia galeata",51.985325,-3.992769
"574","Daphnia galeata",51.980857,-3.991115
"575","Daphnia galeata",51.98314,-3.989032
"576","Daphnia galeata",59.442315,5.250057
"577","Daphnia galeata",63.415912,10.732564
"578","Daphnia galeata",59.44128,5.262897
"579","Daphnia galeata",53.137709,5.932458
"580","Daphnia galeata",52.823389,5.90689
"581","Daphnia galeata",63.828621,11.601431
"582","Daphnia galeata",62.650019,11.869534
"583","Daphnia galeata",63.511893,8.921633
"584","Daphnia galeata",63.567413,8.798669
"585","Daphnia galeata",63.538354,8.627915
"586","Daphnia galeata",63.523567,8.937683
"587","Daphnia galeata",63.546016,8.993965
"588","Daphnia galeata",63.536993,8.881341
"589","Daphnia galeata",63.570229,8.929527
"590","Daphnia galeata",63.572006,8.899318
"591","Daphnia galeata",63.527559,8.618003
"592","Daphnia galeata",63.534332,8.927605
"593","Daphnia galeata",63.507423,8.965846
"594","Daphnia galeata",63.549537,8.859157
"595","Daphnia galeata",63.547463,8.68413
"596","Daphnia galeata",19.885,-99.648056
"597","Daphnia galeata",19.82,-99.245
"598","Daphnia galeata",42.23,-81.92
"599","Daphnia galeata",42.61,-80.37
"600","Daphnia galeata",43.080925,-76.197052
"601","Daphnia galeata",43.222013,-76.033531
"602","Daphnia galeata",53.085313,6.012857
"603","Daphnia galeata",52.866818,6.036159
"604","Daphnia galeata",53.11776,5.938346
"605","Daphnia galeata",53.138478,5.92918
"606","Daphnia galeata",53.125037,5.898104
"607","Daphnia galeata",50.375,-120.795
"608","Daphnia galeata",68.198771,13.65432
"609","Daphnia galeata",68.190469,13.608435
"610","Daphnia galeata",68.21828,13.703207
"611","Daphnia galeata",54.533333,-122.726667
"612","Daphnia galeata",68.236053,13.758148
"613","Daphnia galeata",68.240173,13.699838
"614","Daphnia galeata",60.248051,5.774763
"615","Daphnia galeata",49.055,-119.486667
"616","Daphnia galeata",51.739762,5.905231
"617","Daphnia galeata",51.730302,5.93002
"618","Daphnia galeata",60.394958,10.547868
"619","Daphnia galeata",69.729325,19.867221
"620","Daphnia galeata",52.116667,-122.066667
"621","Daphnia galeata",68.127483,15.983756
"622","Daphnia galeata",68.132009,15.976731
"623","Daphnia galeata",35.283333,136.116667
"624","Daphnia galeata",63.484329,9.668495
"625","Daphnia galeata",60.698895,10.734664
"626","Daphnia galeata",63.615567,11.017014
"627","Daphnia galeata",51.930724,-3.258731
"628","Daphnia galeata",52.23515,-3.372764
"629","Daphnia galeata",63.824101,10.359229
"630","Daphnia galeata",62.905466,7.350873
"631","Daphnia galeata",62.539685,6.857872
"632","Daphnia galeata",63.782132,10.235474
