Day,Month,Year,t_0-10,t_10-25,t_25-60,t_0-60,t_0-25,S_0-10,S_10-25,S_25-60,S_0-60,S_0-25,Chl_0-10,Chl_10-25,Chl_25-60,Chl_0-60,Chl_0-25
13,2,2018,-0.6,-0.6,0.0,-0.2,-0.6,23.7,26.5,26.8,26.2,25.4,0.2,0.2,0.2,0.2,0.2
20,3,2018,-0.8,-0.5,0.5,0.1,-0.6,16.8,23.4,27.1,24.7,20.7,0.3,0.2,0.2,0.2,0.2
29,3,2018,-0.7,-0.4,0.4,0.1,-0.5,24.2,26.8,27.7,27.0,25.7,0.6,0.2,0.2,0.2,0.3
18,4,2018,-0.3,-0.1,0.3,0.1,-0.2,22.7,27.2,27.9,26.9,25.4,0.4,0.2,0.2,0.2,0.3
26,4,2018,0.2,0.1,0.3,0.2,0.2,24.3,26.9,27.5,26.9,25.9,0.5,0.3,0.2,0.2,0.4
12,5,2018,4.0,1.4,0.3,1.1,2.4,23.8,25.8,27.4,26.5,25.0,2.1,1.2,0.3,0.8,1.6
20,5,2018,6.4,1.8,0.3,1.6,3.6,23.5,26.1,27.4,26.5,25.1,1.1,0.5,0.2,0.4,0.7
31,5,2018,9.2,5.7,0.2,2.9,7.1,22.9,24.6,27.5,26.1,23.9,0.8,0.5,0.2,0.4,0.6
10,6,2018,8.2,2.9,0.1,2.0,5.0,23.4,26.0,27.8,26.7,25.0,0.7,0.2,0.2,0.3,0.4
21,6,2018,6.3,1.1,0.3,1.4,3.2,24.9,27.0,27.3,26.9,26.2,1.2,0.3,0.2,0.4,0.7
1,7,2018,9.5,6.7,1.9,4.2,7.8,25.6,25.9,26.9,26.4,25.8,1.1,0.8,0.3,0.5,0.9
10,7,2018,13.5,8.5,1.5,5.0,10.5,25.6,25.9,27.1,26.6,25.8,1.2,1.1,0.2,0.6,1.1
21,7,2018,16.7,9.6,3.7,7.1,12.4,25.3,25.7,26.6,26.2,25.5,1.3,0.9,0.3,0.6,1.0
30,7,2018,18.3,11.6,3.2,7.5,14.3,24.8,25.6,26.9,26.3,25.3,1.0,0.5,0.3,0.4,0.7
9,8,2018,17.6,14.8,5.3,9.4,15.9,24.8,25.2,26.6,26.0,25.0,1.8,0.9,0.3,0.7,1.3
20,8,2018,12.8,6.7,2.5,5.1,9.1,25.2,26.3,27.1,26.6,25.8,NA,NA,NA,NA,NA
30,8,2018,11.3,5.9,2.4,4.5,8.1,25.3,26.4,27.1,26.7,26.0,NA,NA,NA,NA,NA
10,9,2018,13.1,9.9,3.8,6.7,11.2,24.9,25.5,26.8,26.2,25.3,NA,NA,NA,NA,NA
20,9,2018,11.4,9.6,4.8,6.9,10.3,25.1,25.5,26.6,26.1,25.3,NA,NA,NA,NA,NA
1,10,2018,8.1,6.4,2.9,4.5,7.1,25.4,26.0,27.0,26.5,25.8,NA,NA,NA,NA,NA
10,10,2018,6.1,4.9,2.9,3.9,5.4,25.7,26.4,27.1,26.7,26.1,0.5,0.4,0.3,0.3,0.5
23,10,2018,5.0,4.4,3.1,3.7,4.6,25.9,26.5,27.2,26.8,26.3,0.4,0.3,0.2,0.3,0.4
31,10,2018,3.5,3.7,3.0,3.2,3.6,25.2,26.3,27.2,26.7,25.8,0.5,0.4,0.3,0.3,0.4
10,11,2018,3.3,3.4,2.5,2.9,3.4,26.1,26.5,27.3,27.0,26.4,0.3,0.3,0.3,0.3,0.3
20,11,2018,3.1,3.1,3.0,3.0,3.1,26.5,26.5,27.1,26.8,26.5,0.3,0.3,0.3,0.3,0.3
11,2,2019,-1.4,-1.4,-1.3,-1.3,-1.4,25.1,26.5,27.2,26.7,25.9,NA,NA,NA,NA,NA
14,3,2019,-1.2,-1.3,-0.7,-0.9,-1.3,24.4,27.2,27.5,26.9,26.1,NA,NA,NA,NA,NA
22,3,2019,-1.2,-1.0,-0.3,-0.6,-1.1,25.0,27.3,27.7,27.2,26.4,0.3,0.2,0.2,0.2,0.2
30,3,2019,-1.2,-1.2,-0.6,-0.8,-1.2,25.2,27.2,27.6,27.2,26.4,0.2,0.1,0.1,0.2,0.2
10,4,2019,-0.9,-0.8,-0.2,-0.4,-0.8,22.3,27.3,28.1,27.0,25.3,0.3,0.2,0.2,0.2,0.2
18,4,2019,-0.7,-0.9,-0.6,-0.7,-0.8,21.1,26.9,27.6,26.5,24.6,0.4,0.2,0.2,0.2,0.3
14,5,2019,2.1,0.3,-0.1,0.3,1.0,25.3,26.9,27.4,26.9,26.2,1.9,1.6,0.8,1.2,1.7
21,5,2019,5.0,1.9,-0.1,1.1,3.1,24.8,26.4,27.6,26.9,25.8,1.6,1.9,0.7,1.1,1.8
2,6,2019,3.8,2.4,0.1,1.2,2.9,25.6,26.7,27.5,27.0,26.2,1.4,1.5,1.0,1.2,1.5
10,6,2019,6.9,2.2,0.4,1.8,4.1,24.9,26.5,27.5,26.8,25.9,1.0,0.5,0.5,0.6,0.7
18,6,2019,10.8,5.7,0.5,3.3,7.7,25.2,26.0,27.5,26.8,25.7,1.2,0.7,0.3,0.6,0.9
29,6,2019,12.1,7.2,1.4,4.4,9.2,24.8,25.8,27.2,26.5,25.4,1.2,1.0,0.3,0.6,1.1
9,7,2019,11.4,7.0,1.2,4.1,8.7,24.9,25.7,27.2,26.5,25.4,2.4,1.1,0.2,0.8,1.6
20,7,2019,12.0,8.1,2.3,5.1,9.7,23.7,25.4,27.0,26.1,24.7,1.3,0.9,0.3,0.6,1.0
1,8,2019,13.2,11.1,2.8,6.3,11.9,24.0,24.5,27.0,26.0,24.3,1.4,1.1,0.3,0.6,1.2
10,8,2019,11.1,6.9,1.6,4.3,8.6,24.2,25.9,27.4,26.6,25.2,1.1,0.4,0.2,0.4,0.7
20,8,2019,10.1,6.7,3.1,5.0,8.0,24.5,26.2,27.1,26.5,25.5,1.8,0.5,0.2,0.5,1.1
31,8,2019,11.1,6.6,2.3,4.7,8.4,24.2,26.0,27.3,26.5,25.3,2.1,0.7,0.2,0.6,1.3
10,9,2019,10.8,9.4,6.1,7.6,10.0,25.2,25.7,26.4,26.0,25.5,1.8,0.7,0.3,0.6,1.1
21,9,2019,9.8,9.9,5.2,7.0,9.8,25.4,25.5,26.6,26.2,25.4,1.3,1.2,0.5,0.8,1.2
3,10,2019,7.2,7.2,3.7,5.1,7.2,25.7,25.7,26.9,26.4,25.7,1.8,0.5,0.2,0.5,1.1
10,10,2019,6.3,6.3,3.8,4.8,6.3,25.6,25.7,26.8,26.4,25.7,0.6,0.6,0.3,0.4,0.6
21,10,2019,5.0,5.2,4.2,4.5,5.1,25.1,25.7,26.6,26.2,25.5,0.5,0.4,0.3,0.4,0.5
29,10,2019,4.1,4.3,4.3,4.3,4.2,25.4,25.7,26.4,26.1,25.6,0.4,0.4,0.3,0.4,0.4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
