sea,place,pop,pop_sub,substrate,horizont,year,str,size,age,ind,freq_MT,freq_MT_substrate,dist,sal_low
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.98,31.7,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.964,41,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.977,42.6,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.979,35.2,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.973,35.6,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.98,37.6,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.978,39.5,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.024,41.6,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.217,41.2,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.425,40,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.545,37.2,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.202,40,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.952,40.7,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.677,32.9,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.032,38,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.272,41.8,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.203,40.7,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.034,42,6,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.024,42.8,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.404,40.5,7,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.924,42.4,7,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.944,43.2,7,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.98,38.8,7,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.025,40,7,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.024,43.1,7,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.024,49,8,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.893,46.3,9,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.135,49.7,10,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.025,58.1,10,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.893,50.9,11,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.973,49.4,11,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.033,39.6,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.129,38.9,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,41,6,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.87,50.9,7,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.938,52.4,8,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.916,56,13,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.033,31.1,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.028,33.4,5,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,33,5,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.941,29.7,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.034,30.3,5,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.977,28.3,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.977,35.4,6,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.974,34.6,6,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.98,26,6,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,10.2,3,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.957,17.5,4,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.973,17.7,4,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.023,18.1,4,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.572,25.8,5,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.025,7.1,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.031,8,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.025,8.2,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,8.7,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,9.1,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,9.2,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.033,9.3,2,0,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.025,9.8,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.033,9.9,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.941,9.9,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.546,10.3,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.033,10.8,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.32,11.5,2,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.024,10,3,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.034,10.5,3,1,0.48,0.39,52,25
barents,tyuva,seredina_sub,tssa,algae,subtidal,2012,0.202,10.7,3,1,0.48,0.39,52,25
