Place,Sea,Year,Date,Number,L,a,l
Vhg,Baltic Sea,2005,18.06.05,45,NA,5.1,9.1
Vhg,Baltic Sea,2005,18.06.05,38,NA,7.1,7.3
Vhg,Baltic Sea,2005,18.06.05,13,NA,7.3,7.3
Vhg,Baltic Sea,2005,18.06.05,44,NA,4.9,7.3
Vhg,Baltic Sea,2005,18.06.05,30,NA,4,4
Vhg,Baltic Sea,2005,18.06.05,22,NA,4.5,5.1
Vhg,Baltic Sea,2005,18.06.05,17,NA,4.7,4.8
Vhg,Baltic Sea,2005,18.06.05,11,NA,7.3,7.1
Vhg,Baltic Sea,2005,18.06.05,15,NA,4.3,6
Vhg,Baltic Sea,2005,18.06.05,4,NA,6.9,6.8
Vhg,Baltic Sea,2005,18.06.05,20,NA,3.9,5.6
Vhg,Baltic Sea,2005,18.06.05,35,NA,2.3,5.3
Vhg,Baltic Sea,2005,18.06.05,24,NA,3.3,5.7
Vhg,Baltic Sea,2005,18.06.05,5,NA,6.7,6.7
Vhg,Baltic Sea,2005,18.06.05,16,NA,6,6.3
Vhg,Baltic Sea,2005,18.06.05,18,NA,5.5,6.7
Vhg,Baltic Sea,2005,18.06.05,36,NA,3.9,5.7
Vhg,Baltic Sea,2005,18.06.05,37,NA,4.5,6
Vhg,Baltic Sea,2005,18.06.05,8,NA,4.4,5.6
Vhg,Baltic Sea,2005,18.06.05,19,NA,3.2,3.9
Vhg,Baltic Sea,2005,18.06.05,26,NA,2.8,2.8
Vhg,Baltic Sea,2005,18.06.05,32,NA,1.7,4.1
Vhg,Baltic Sea,2005,18.06.05,9,NA,0,5.3
Vhg,Baltic Sea,2005,18.06.05,3,NA,3.5,6.5
Vhg,Baltic Sea,2005,18.06.05,39,NA,6.1,6.1
Vhg,Baltic Sea,2005,18.06.05,29,NA,1.7,1.7
Vhg,Baltic Sea,2005,18.06.05,31,NA,3.3,3.6
Vhg,Baltic Sea,2005,18.06.05,33,NA,5.6,6
Vhg,Baltic Sea,2005,18.06.05,34,NA,3.6,5.6
Vhg,Baltic Sea,1988,09.03.88,58,NA,5.6,11.2
Vhg,Baltic Sea,1988,09.03.88,57,NA,7.7,13.3
Vhg,Baltic Sea,1988,09.03.88,54,NA,6.5,10.4
Vhg,Baltic Sea,1988,09.03.88,36,NA,6,10.1
Vhg,Baltic Sea,1988,09.03.88,35,NA,0,9.1
Vhg,Baltic Sea,1988,09.03.88,42,NA,2.9,9.6
Vhg,Baltic Sea,1988,09.03.88,37,NA,7.2,8.9
Vhg,Baltic Sea,1988,09.03.88,32,NA,4.3,9.6
Vhg,Baltic Sea,1988,09.03.88,38,NA,6,11.5
