"","Station","Long","Lat","Depth","Date","Constructed","No","Month"
"21730","O104",73.7019992362869,70.9910531339053,11.5,2017-04-27 03:00:00,3.27859115600586,2.99110054969788,4
"21731","O105",73.7698151132434,71.0014275731138,11,2017-04-27 03:00:00,3.08580255508423,2.78242313861847,4
"21732","O107",73.7711489169493,70.9896721916697,11,2017-04-27 03:00:00,3.36462831497192,2.93784427642822,4
"21733","O108",73.7909959999148,71.0075190003057,5,2017-04-27 03:00:00,3.09193801879883,2.99119782447815,4
"21734","O109",73.7896248311921,71.0032002012976,12,2017-04-27 03:00:00,3.09794068336487,2.9136061668396,4
"21735","O111",73.8290943454429,70.9886234417251,8,2017-04-27 03:00:00,3.05927968025208,2.73735475540161,4
"21736","O112",73.8354893269095,70.982716967437,8,2017-04-27 03:00:00,3.03461122512817,2.75530564785004,4
"21737","O1",73.1319105191017,72.6825728303676,16.3,2017-04-28 03:00:00,29.5201606750488,29.4992370605469,4
"21738","O2",73.4237380740005,72.7045819402862,22,2017-04-28 03:00:00,29.9922122955322,29.9782829284668,4
"21739","O3",73.7162792611893,72.7261680595336,22,2017-04-28 03:00:00,28.9959354400635,28.9581031799316,4
"21740","O4",74.009522876783,72.7473295567618,18.5,2017-04-28 03:00:00,27.2570266723633,27.2336158752441,4
"21741","O5",74.3034575168275,72.768064823866,15,2017-04-28 03:00:00,26.7321243286133,26.6832962036133,4
"21742","O6",74.5980707384903,72.7883722184,12.5,2017-04-28 03:00:00,24.4370988210042,24.2682813008626,4
"21743","O7",73.1495690544127,72.3387651598345,10.75,2017-04-28 03:00:00,17.7015056610107,18.1555519104004,4
"21744","O8",73.3671863625466,72.3430519153511,12.25,2017-04-28 03:00:00,17.9568939208984,17.3414249420166,4
"21745","O9",73.8953984750899,72.34551539962,11.5,2017-04-28 03:00:00,18.6476440429688,18.7340984344482,4
"21746","O10",74.1665935052859,72.5511168816705,15.4,2017-04-28 03:00:00,26.7494449615479,26.5304622650146,4
"21747","O11",74.3159186044979,72.5516829130236,15.8,2017-04-28 03:00:00,26.7352657318115,26.6633911132812,4
"21748","O12",74.4652525801833,72.5521375488588,15.6,2017-04-28 03:00:00,26.0484142303467,26.0256900787354,4
"21749","O13",73.3206497474867,71.648941382955,10,2017-04-28 03:00:00,6.73239374160767,6.44037246704102,4
"21750","O14",74.3205662863596,72.5068986607386,15.6,2017-04-28 03:00:00,26.1733665466309,26.1307563781738,4
"21751","O15",74.3193152068486,72.6008282629359,15.8,2017-04-28 03:00:00,26.7913208007812,26.7202739715576,4
"21752","O16",73.9481155287387,72.5353381836306,15.5,2017-04-28 03:00:00,26.2008895874023,25.9924964904785,4
"21753","O18",74.1849908165619,72.480978250465,15.5,2017-04-28 03:00:00,25.3930587768555,25.4264278411865,4
"21754","O19",73.7755417000831,72.4707760686877,12.25,2017-04-28 03:00:00,23.6302871704102,22.1800346374512,4
"21755","O21",74.0120895938746,72.4166206638183,11,2017-04-28 03:00:00,21.5868453979492,21.8246459960938,4
"21756","O22",73.4988268904882,72.3711318563435,11.75,2017-04-28 03:00:00,18.3402004241943,16.8338890075684,4
"21757","O24",73.7349002111026,72.3173051555688,11.5,2017-04-28 03:00:00,16.7426052093506,16.7530841827393,4
"21758","O25",73.2754109884043,72.282942782585,11.8,2017-04-28 03:00:00,16.063268661499,15.2206516265869,4
"21759","O27",73.511001269064,72.2293820655896,11.75,2017-04-28 03:00:00,14.1100196838379,13.8563976287842,4
"21760","O28",73.0558876226892,72.1926233720616,13.25,2017-04-28 03:00:00,15.2907320658366,14.8367048899333,4
"21761","O29",73.173592183646,72.1660093114438,15.3,2017-04-28 03:00:00,14.7407464981079,13.9866352081299,4
"21762","O30",73.2909574022571,72.1393245109186,13.15,2017-04-28 03:00:00,13.0268119176229,12.7579456965129,4
"21763","O31",72.8975084958415,72.3432616514305,6,2017-04-28 03:00:00,17.2440929412842,16.9308052062988,4
"21764","O32",74.2612625656355,72.3415358637732,13,2017-04-28 03:00:00,21.4653415679932,21.5347239176432,4
"21765","O33",74.6168795621217,72.3361383600141,13,2017-04-28 03:00:00,21.2023455301921,21.2589480082194,4
"21766","O34",73.8061251510736,72.1644999939066,12.5,2017-04-28 03:00:00,14.584680557251,14.4761972427368,4
"21767","O35",73.9523029893319,72.1653343248511,12.5,2017-04-28 03:00:00,15.4080317815145,15.389861424764,4
"21768","O36",74.098493829918,72.1660598482393,12.5,2017-04-28 03:00:00,16.319543838501,16.3055540720622,4
"21769","O37",73.9608594675773,72.2173660098347,12.5,2017-04-28 03:00:00,16.4276421864827,16.3657442728678,4
"21770","O38",73.957730413716,72.1205579229866,12.5,2017-04-28 03:00:00,15.2131385803223,15.1375614802043,4
"21771","O39",74.9820934374295,72.3398930731416,9.5,2017-04-28 03:00:00,19.9540615081787,19.7415390014648,4
"21772","O40",72.6353944576255,72.0003672427614,9.25,2017-04-28 03:00:00,11.6362781524658,11.3150844573975,4
"21773","O41",72.9252015044986,72.0016095187983,15.5,2017-04-28 03:00:00,15.5803155899048,14.4743137359619,4
"21774","O42",73.215044405428,72.0022627843704,14,2017-04-28 03:00:00,11.9716272354126,11.846152305603,4
"21775","O43",73.5048834157483,72.00153157603,9.4,2017-04-28 03:00:00,12.1087112426758,11.9129219055176,4
"21776","O44",73.7946966111388,72.0003692003054,11.75,2017-04-28 03:00:00,14.4435834884644,14.2714319229126,4
"21777","O45",74.0844835302265,72.0010840289,11.25,2017-04-28 03:00:00,14.9625511169434,14.7947759628296,4
"21778","O46",74.3743067435261,72.0022303409704,11,2017-04-28 03:00:00,15.6665353775024,15.5118246078491,4
"21779","O47",71.8872898807154,71.4803390505507,7,2017-04-28 03:00:00,4.54774761199951,4.2721529006958,4
"21780","O48",72.2058161361895,71.4709259923908,16,2017-04-28 03:00:00,7.48058271408081,6.94363641738892,4
"21781","O49",72.5329688873938,71.4610952426343,15.5,2017-04-28 03:00:00,8.79234218597412,8.06398582458496,4
"21782","O50",72.7970869439767,71.4512888995026,12.75,2017-04-28 03:00:00,5.81601667404175,5.53206491470337,4
"21783","O51",73.0008912101164,71.4416784399547,9.75,2017-04-28 03:00:00,4.75941610336304,4.46408081054688,4
"21784","O52",72.2143536386029,71.2733046310713,11.75,2017-04-28 03:00:00,4.96801424026489,4.62381267547607,4
"21785","O53",72.493230958328,71.2760392452496,21.5,2017-04-28 03:00:00,6.76914358139038,6.27022409439087,4
"21786","O54",72.7709814812953,71.2794969933704,23,2017-04-28 03:00:00,5.055251121521,4.69355535507202,4
"21787","O55",73.0515359606133,71.2821889154327,11.25,2017-04-28 03:00:00,3.98085713386536,3.71945142745972,4
"21788","O56",73.3299209765427,71.2853172273433,9.5,2017-04-28 03:00:00,4.93372678756714,4.72487688064575,4
"21789","O57",73.6169715829086,71.1670687370742,5,2017-04-28 03:00:00,4.04661703109741,2.73397159576416,4
"21790","O58",72.5826322147043,71.1675228256034,11,2017-04-28 03:00:00,3.67898416519165,3.41535520553589,4
"21791","O59",72.8581386185319,71.1707619360445,18,2017-04-28 03:00:00,3.84999567270279,3.57778567075729,4
"21792","O60",73.140807235491,71.1733555978334,26,2017-04-28 03:00:00,3.96712827682495,3.68648838996887,4
"21793","O61",73.2778702365767,71.1748464297469,17,2017-04-28 03:00:00,3.67924833297729,3.40659666061401,4
"21794","O62",73.414712890491,71.1764114396328,12.25,2017-04-28 03:00:00,3.77706336975098,3.46173214912415,4
"21795","O63",72.2905669585845,71.6786223218286,5,2017-04-28 03:00:00,6.39427947998047,6.0662202835083,4
"21796","O64",72.5293510920599,71.6733447016654,14.5,2017-04-28 03:00:00,8.91746966044108,8.47073904673258,4
"21797","O65",73.0195744443871,71.6569094929681,16.5,2017-04-28 03:00:00,9.28576278686523,8.85591125488281,4
"21798","O66",72.691530243451,71.0368456258342,4,2017-04-28 03:00:00,1.34105026721954,1.28588020801544,4
