"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"523","S_497",55.086768,160.1003392,2005,2023,18,0.2754,0.022,"2005to2023","nirv.max",-0.00056,0.3029,-0.103,0.5923,-0.011,-3.6,"no_trend"
"524","S_499",55.1310592,159.929339,2005,2023,19,0.1786,0.0143,"2005to2023","nirv.max",9e-05,0.2088,0.033,0.8796,0.002,1,"no_trend"
"525","S_5",55.0947581,159.9858503,2005,2023,18,0.1782,0.0124,"2005to2023","nirv.max",0.00089,0.2433,0.353,0.0529,0.017,7,"greening"
"526","S_503",55.1315925,160.0620454,2005,2023,19,0.2159,0.0107,"2005to2023","nirv.max",0.00033,0.2063,0.072,0.7049,0.006,2.9,"no_trend"
"527","S_504",55.0972884,160.0061287,2005,2023,19,0.1791,0.011,"2005to2023","nirv.max",-0.00014,0.1681,-0.059,0.7619,-0.003,-1.8,"no_trend"
"528","S_505",55.0933039,159.9308134,2005,2023,18,0.176,0.0083,"2005to2023","nirv.max",0.00027,0.1831,0.118,0.5366,0.005,2.7,"no_trend"
"529","S_507",55.0937213,160.0455278,2005,2023,19,0.1899,0.0171,"2005to2023","nirv.max",-0.00118,0.2277,-0.268,0.1297,-0.022,-9.7,"no_trend"
"530","S_509",55.0974359,160.0832366,2005,2023,18,0.2654,0.0149,"2005to2023","nirv.max",-0.00152,0.3032,-0.382,0.0357,-0.029,-9.6,"browning"
"531","S_512",55.0847568,159.9202751,2005,2023,19,0.185,0.0101,"2005to2023","nirv.max",-0.00057,0.1898,-0.19,0.2889,-0.011,-5.8,"no_trend"
"532","S_513",55.1064722,159.9005534,2005,2023,19,0.2337,0.0224,"2005to2023","nirv.max",-0.00306,0.204,-0.582,9e-04,-0.058,-28.4,"browning"
"533","S_514",55.0963028,160.148085,2005,2023,19,0.2834,0.0345,"2005to2023","nirv.max",-0.00052,0.2215,-0.072,0.7049,-0.01,-4.5,"no_trend"
"534","S_515",55.098459,160.1481468,2005,2023,18,0.1966,0.0163,"2005to2023","nirv.max",-2e-04,0.1515,-0.029,0.9016,-0.004,-2.6,"no_trend"
"535","S_516",55.1046579,159.8906379,2005,2023,19,0.1987,0.0183,"2005to2023","nirv.max",-0.00237,0.2516,-0.542,0.0019,-0.045,-17.9,"browning"
"536","S_517",55.0908766,160.0313515,2005,2023,17,0.1756,0.0142,"2005to2023","nirv.max",-0.00057,0.2412,-0.167,0.3923,-0.011,-4.6,"no_trend"
"537","S_518",55.0982103,159.9586664,2005,2023,17,0.1904,0.0138,"2005to2023","nirv.max",4e-05,0.2761,0,1,0.001,0.4,"no_trend"
"538","S_52",55.1019512,160.0603189,2005,2023,16,0.1894,0.0122,"2005to2023","nirv.max",-0.00041,0.2661,-0.181,0.3731,-0.008,-3,"no_trend"
"539","S_522",55.134189,160.0734083,2005,2023,19,0.1941,0.0122,"2005to2023","nirv.max",-0.00067,0.1742,-0.15,0.4047,-0.013,-7.5,"no_trend"
"540","S_526",55.137514,159.9313714,2005,2023,19,0.1824,0.0144,"2005to2023","nirv.max",1e-04,0.1651,0.02,0.9396,0.002,1.2,"no_trend"
"541","S_527",55.1273639,159.9189023,2005,2023,17,0.1752,0.0114,"2005to2023","nirv.max",-0.00091,0.2373,-0.3,0.1151,-0.017,-7.2,"no_trend"
"542","S_528",55.0842085,159.9564515,2005,2023,19,0.1874,0.0141,"2005to2023","nirv.max",7e-05,0.2491,0.046,0.8202,0.001,0.4,"no_trend"
"543","S_530",55.0963276,160.0559388,2005,2023,18,0.212,0.0147,"2005to2023","nirv.max",-0.00037,0.1262,-0.044,0.8368,-0.007,-5.5,"no_trend"
"544","S_531",55.1104247,159.948142,2005,2023,16,0.1713,0.0093,"2005to2023","nirv.max",0.00051,0.1518,0.352,0.0748,0.01,6.6,"greening"
"545","S_532",55.0947631,160.049786,2005,2023,18,0.1985,0.0136,"2005to2023","nirv.max",-0.00142,0.1602,-0.265,0.1494,-0.027,-16.9,"no_trend"
"546","S_533",55.088129,159.9720562,2005,2023,18,0.1983,0.0119,"2005to2023","nirv.max",-4e-05,0.2106,-0.015,0.9671,-0.001,-0.5,"no_trend"
"547","S_535",55.1017978,160.1656401,2005,2023,19,0.2812,0.0215,"2005to2023","nirv.max",-0.00227,0.2994,-0.373,0.0339,-0.043,-14.4,"browning"
"548","S_538",55.1171845,159.9102019,2005,2023,19,0.1863,0.0148,"2005to2023","nirv.max",-0.00011,0.2074,-0.033,0.8796,-0.002,-1,"no_trend"
"549","S_539",55.0899425,159.9471873,2005,2023,18,0.1878,0.0108,"2005to2023","nirv.max",-0.00044,0.1906,-0.162,0.387,-0.008,-4.2,"no_trend"
"550","S_54",55.1056132,160.0100998,2005,2023,19,0.1818,0.0113,"2005to2023","nirv.max",0.00078,0.1705,0.281,0.1116,0.015,8.8,"no_trend"
"551","S_540",55.1210455,159.8985292,2005,2023,16,0.1723,0.0119,"2005to2023","nirv.max",-7e-04,0.1606,-0.276,0.1659,-0.013,-8.1,"no_trend"
"552","S_544",55.1113469,160.0953708,2006,2023,17,0.2364,0.0141,"2005to2023","nirv.max",-9e-05,0.2373,-0.117,0.5584,-0.002,-0.8,"no_trend"
"553","S_546",55.1104903,159.9396783,2005,2023,18,0.1818,0.0133,"2005to2023","nirv.max",0.0014,0.2173,0.368,0.0435,0.027,12.4,"greening"
"554","S_547",55.1062884,160.0576122,2005,2023,19,0.1853,0.0121,"2005to2023","nirv.max",0.00058,0.2217,0.085,0.6494,0.011,5,"no_trend"
"555","S_548",55.095326,160.1372441,2006,2023,17,0.2461,0.0314,"2005to2023","nirv.max",-0.00222,0.2267,-0.35,0.0649,-0.042,-18.5,"browning"
"556","S_549",55.0977928,160.0733731,2005,2023,18,0.2258,0.0114,"2005to2023","nirv.max",-0.00053,0.198,-0.147,0.4338,-0.01,-5.1,"no_trend"
"557","S_55",55.1072109,160.0124914,2005,2023,19,0.2088,0.0126,"2005to2023","nirv.max",-0.00043,0.2881,-0.163,0.3633,-0.008,-2.8,"no_trend"
"558","S_552",55.0978503,159.9356206,2005,2023,15,0.1779,0.0148,"2005to2023","nirv.max",0.00036,0.1143,0.143,0.5112,0.007,6.1,"no_trend"
"559","S_553",55.114224,159.9449396,2006,2023,16,0.1689,0.0137,"2005to2023","nirv.max",-0.00031,0.2127,-0.219,0.2763,-0.006,-2.8,"no_trend"
"560","S_554",55.1101344,159.8790025,2005,2023,16,0.1685,0.0087,"2005to2023","nirv.max",-0.00028,0.147,-0.143,0.4884,-0.005,-3.4,"no_trend"
"561","S_555",55.1320204,159.9091277,2005,2023,19,0.1707,0.0128,"2005to2023","nirv.max",0.00093,0.1792,0.399,0.023,0.018,10,"greening"
"562","S_556",55.0984092,160.0009852,2005,2023,17,0.1727,0.0098,"2005to2023","nirv.max",-0.00053,0.1952,-0.2,0.3004,-0.01,-5.1,"no_trend"
"563","S_557",55.1408136,160.024167,2005,2023,18,0.18,0.014,"2005to2023","nirv.max",4e-05,0.1727,0.015,0.9671,0.001,0.6,"no_trend"
"564","S_558",55.0886122,160.1050903,2005,2023,18,0.241,0.0231,"2005to2023","nirv.max",-0.00182,0.2533,-0.191,0.3031,-0.035,-13.8,"no_trend"
"565","S_561",55.1512285,160.0037196,2005,2023,18,0.1823,0.0095,"2005to2023","nirv.max",4e-04,0.1558,0.132,0.4838,0.008,5.1,"no_trend"
"566","S_562",55.1408049,159.9926329,2005,2023,19,0.1942,0.0122,"2005to2023","nirv.max",-9e-04,0.2081,-0.176,0.3247,-0.017,-8.2,"no_trend"
"567","S_564",55.1097108,160.0036191,2005,2023,18,0.2074,0.0104,"2005to2023","nirv.max",0.00066,0.2515,0.176,0.3434,0.013,5.2,"no_trend"
