Square,Sample,Morph,Length,Status,Site
6,C,T,12,dead,VorKorg
6,C,T,12,dead,VorKorg
6,C,E,33,dead,VorKorg
6,C,E,31,dead,VorKorg
6,C,E,20,dead,VorKorg
6,C,E,28,dead,VorKorg
6,C,E,25,dead,VorKorg
6,C,E,27,dead,VorKorg
6,C,E,28,dead,VorKorg
6,C,E,34,dead,VorKorg
6,C,E,27,dead,VorKorg
6,C,E,24,dead,VorKorg
6,C,E,23,dead,VorKorg
6,C,E,25,dead,VorKorg
6,C,E,25,dead,VorKorg
6,C,E,25,dead,VorKorg
6,C,E,24,dead,VorKorg
6,C,E,22,dead,VorKorg
6,C,E,19,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,19,dead,VorKorg
6,C,E,21,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,22,dead,VorKorg
6,C,E,20,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,20,dead,VorKorg
6,C,E,16,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,16,dead,VorKorg
6,C,E,15,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,16,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,18,dead,VorKorg
6,C,E,15,dead,VorKorg
6,C,E,15,dead,VorKorg
6,C,E,14,dead,VorKorg
6,C,E,16,dead,VorKorg
6,C,E,17,dead,VorKorg
6,C,E,15,dead,VorKorg
6,C,E,14,dead,VorKorg
6,C,E,13,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,30,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,30,dead,VorKorg
5,A,T,26,dead,VorKorg
5,A,T,33,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,28,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,25,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,25,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,25,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,24,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,23,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,22,dead,VorKorg
5,A,T,23,dead,VorKorg
5,A,T,25,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,23,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,21,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,20,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,19,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,14,dead,VorKorg
5,A,T,16,dead,VorKorg
5,A,T,18,dead,VorKorg
5,A,T,17,dead,VorKorg
5,A,T,15,dead,VorKorg
5,A,T,16,dead,VorKorg
