sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GYO369,KIM,edulis,Kent Island Mooring,0.999987,0.000013,76.4,33.2,28.9,E
GYO370,KIM,edulis,Kent Island Mooring,0.999987,0.000013,78.6,42.9,33.7,E
GYO371,KIM,edulis,Kent Island Mooring,0.999984,0.000016,78.5,43.4,41.6,E
GYO372,KIM,edulis,Kent Island Mooring,0.999981,0.000019,77.5,41.1,28,E
GYO373,KIM,hybrid,Kent Island Mooring,0.787873,0.212127,78.2,41.4,35.3,E
GYO374,KIM,edulis,Kent Island Mooring,0.99998,0.00002,43.1,26,26,E
GYO375,KIM,edulis,Kent Island Mooring,0.999983,0.000017,71.7,38.2,0,T
GYO376,KIM,edulis,Kent Island Mooring,0.999978,0.000022,71.4,36.8,24.4,E
GYO377,KIM,trossulus,Kent Island Mooring,4.40E-05,0.999956,72.7,39.3,0,T
GYO378,KIM,edulis,Kent Island Mooring,0.999985,0.000015,69.4,35.2,24.6,E
GYO379,KIM,edulis,Kent Island Mooring,0.999985,0.000015,60.3,32.7,32.7,E
GYO380,KIM,edulis,Kent Island Mooring,0.999986,0.000014,44.4,22.4,14,E
GYO381,KIM,edulis,Kent Island Mooring,0.999985,0.000015,81.4,43.9,36.5,E
GYO382,KIM,edulis,Kent Island Mooring,0.999988,0.000012,71.6,35.4,27.6,E
GYO383,KIM,edulis,Kent Island Mooring,0.999981,0.000019,71.4,36.9,31.4,E
GYO385,KIM,edulis,Kent Island Mooring,0.999985,0.000015,79,41.1,32.9,E
GYO387,KIM,edulis,Kent Island Mooring,0.999984,0.000016,71.2,39.5,24.7,E
GYO388,KIM,edulis,Kent Island Mooring,0.999983,0.000017,81.8,41.5,32.6,E
GYO389,KIM,edulis,Kent Island Mooring,0.999984,0.000016,68.7,39,29.9,E
GYO390,KIM,edulis,Kent Island Mooring,0.999985,0.000015,71,40,24.9,E
GYO391,KIM,edulis,Kent Island Mooring,0.999988,0.000012,64.1,33.7,21.5,E
GYO392,KIM,hybrid,Kent Island Mooring,0.849272,0.150728,71,42.5,31.8,E
