sample_ID,pop_ID,species,location,edulis,trossulus
REBL223,CBE,trossulus,Cobscook Bay Eastport,0.000027,0.999973
REBL224,CBE,trossulus,Cobscook Bay Eastport,0.000016,0.999984
REBL225,CBE,trossulus,Cobscook Bay Eastport,0.000021,0.999979
REBL226,CBE,trossulus,Cobscook Bay Eastport,0.000085,0.999915
REBL227,CBE,trossulus,Cobscook Bay Eastport,0.000021,0.999979
REBL229,CBE,trossulus,Cobscook Bay Eastport,0.000016,0.999984
REBL230,CBE,trossulus,Cobscook Bay Eastport,0.000023,0.999977
REBL231,CBE,trossulus,Cobscook Bay Eastport,0.00005,0.99995
REBL232,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL233,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL234,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL235,CBE,trossulus,Cobscook Bay Eastport,0.000018,0.999982
REBL237,CBE,trossulus,Cobscook Bay Eastport,0.000018,0.999982
REBL239,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL240,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL241,CBE,trossulus,Cobscook Bay Eastport,0.000027,0.999973
REBL242,CBE,trossulus,Cobscook Bay Eastport,0.000027,0.999973
REBL243,CBE,trossulus,Cobscook Bay Eastport,0.000019,0.999981
REBL244,CBE,trossulus,Cobscook Bay Eastport,0.000019,0.999981
REBL245,CBE,trossulus,Cobscook Bay Eastport,0.000028,0.999972
REBL246,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL247,CBE,trossulus,Cobscook Bay Eastport,0.000067,0.999933
REBL248,CBE,trossulus,Cobscook Bay Eastport,0.000032,0.999968
REBL249,CBE,trossulus,Cobscook Bay Eastport,0.000028,0.9999720.722222222
REBL250,CBE,trossulus,Cobscook Bay Eastport,0.000056,0.999944
REBL251,CBE,trossulus,Cobscook Bay Eastport,0.000027,0.999973
REBL253,CBE,trossulus,Cobscook Bay Eastport,0.000021,0.999979
REBL255,CBE,trossulus,Cobscook Bay Eastport,0.00003,0.99997
REOR313,CBSL,trossulus,Cobscook Bay South Lubec,0.000203,0.999797
REOR319,CBSL,trossulus,Cobscook Bay South Lubec,0.00005,0.99995
