population;site;sample_type;substrate;L;z;structure;species;hybride_score
ryazh_f;Ryazhkov;systematic;fucales;13;0.785714286;0.013;edulis;1
ryazh_f;Ryazhkov;systematic;fucales;14.2;0;0.989;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;12.9;0.74137931;0.014;edulis;1
ryazh_f;Ryazhkov;systematic;fucales;15.2;0;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;15.6;0.492307692;0.656;hybrid;5
ryazh_f;Ryazhkov;systematic;fucales;20;0.768292683;0.899;hybrid;5
ryazh_f;Ryazhkov;systematic;fucales;20;0;0.01;edulis;0
ryazh_f;Ryazhkov;systematic;fucales;24.1;0;0.971;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;24.5;0;0.985;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;28.1;0;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;29.1;0;0.976;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;32.4;0;0.382;hybrid;4
ryazh_f;Ryazhkov;systematic;fucales;30.2;0.934306569;0.227;hybrid;2
ryazh_f;Ryazhkov;systematic;fucales;28.8;0;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;28.4;0;0.977;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;32.8;0;0.635;hybrid;5
ryazh_f;Ryazhkov;systematic;fucales;36.4;0.946666667;0.04;edulis;1
ryazh_f;Ryazhkov;systematic;fucales;35.7;0.857142857;0.822;hybrid;4
ryazh_f;Ryazhkov;systematic;fucales;33.7;0;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;37.1;0.453488372;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;47.3;0;0.25;hybrid;2
ryazh2;Ryazhkov;systematic;ground;18.5;0.948051948;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;17.5;1.054794521;0.012;edulis;0
ryazh2;Ryazhkov;systematic;ground;21.9;1;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;19.7;1.011235955;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;16.4;0.930555556;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;17.9;0.444444444;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;21.6;1.00952381;0.085;hybrid;1
ryazh2;Ryazhkov;systematic;ground;24.1;1;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;22.1;0;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;25.7;0.801886792;0.375;hybrid;3
ryazh2;Ryazhkov;systematic;ground;30.1;1;0.922;trossulus;7
ryazh2;Ryazhkov;systematic;ground;26.5;0.849056604;0.043;edulis;1
