decimalLatitude	decimalLongitude
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.34116	4.26661
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.11896	4.26525
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.11896	4.26525
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.11896	4.26525
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.20551	4.37093
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.1716	4.32295
51.1716	4.32295
51.1716	4.32295
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.12088	4.26938
51.00327	3.86759
51.00327	3.86759
51.12088	4.26938
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.12342	4.28004
51.00327	3.86759
51.00327	3.86759
51.00327	3.86759
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.12342	4.28004
51.15089	2.72686
51.12342	4.28004
51.12342	4.28004
51.15089	2.72686
51.12342	4.28004
51.15089	2.72686
51.15089	2.72686
51.12342	4.28004
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
